,TYPE,Lat,Long,Count,zipcode
0,LIGHT,42.232,-71.134,1,02136
1,LIGHT,42.233,-71.133,1,02136
2,LIGHT,42.234,-71.123,1,02136
3,LIGHT,42.234,-71.124,1,02136
4,LIGHT,42.234,-71.131,1,02136
5,LIGHT,42.234,-71.132,1,02136
6,LIGHT,42.234,-71.137,1,02136
7,LIGHT,42.235,-71.124,1,02136
8,LIGHT,42.235,-71.125,1,02136
9,LIGHT,42.235,-71.126,1,02136
10,LIGHT,42.235,-71.127,1,02136
11,LIGHT,42.236,-71.127,6,02136
12,LIGHT,42.236,-71.131,1,02136
13,LIGHT,42.236,-71.135,2,02136
14,LIGHT,42.236,-71.136,3,02136
15,LIGHT,42.236,-71.138,2,02136
16,LIGHT,42.236,-71.139,2,02136
17,LIGHT,42.236,-71.140,2,02136
18,LIGHT,42.236,-71.141,1,02136
19,LIGHT,42.237,-71.131,1,02136
20,LIGHT,42.237,-71.132,10,02136
21,LIGHT,42.237,-71.133,3,02136
22,LIGHT,42.237,-71.134,3,02136
23,LIGHT,42.237,-71.135,7,02136
24,LIGHT,42.237,-71.137,1,02136
25,LIGHT,42.237,-71.138,1,02136
26,LIGHT,42.237,-71.140,2,02136
27,LIGHT,42.237,-71.141,1,02136
28,LIGHT,42.238,-71.131,2,02136
29,LIGHT,42.238,-71.132,16,02136
30,LIGHT,42.238,-71.133,25,02136
31,LIGHT,42.238,-71.134,14,02136
32,LIGHT,42.238,-71.135,2,02136
33,LIGHT,42.238,-71.137,1,02136
34,LIGHT,42.239,-71.130,1,02136
35,LIGHT,42.239,-71.131,6,02136
36,LIGHT,42.239,-71.132,7,02136
37,LIGHT,42.239,-71.133,15,02136
38,LIGHT,42.239,-71.134,3,02136
39,LIGHT,42.239,-71.135,3,02136
40,LIGHT,42.239,-71.137,5,02136
41,LIGHT,42.240,-71.126,2,02136
42,LIGHT,42.240,-71.130,5,02136
43,LIGHT,42.240,-71.131,2,02136
44,LIGHT,42.240,-71.133,1,02136
45,LIGHT,42.240,-71.137,1,02136
46,LIGHT,42.241,-71.120,1,02136
47,LIGHT,42.241,-71.121,1,02136
48,LIGHT,42.241,-71.126,5,02136
49,LIGHT,42.241,-71.129,3,02136
50,LIGHT,42.241,-71.130,2,02136
51,LIGHT,42.241,-71.133,1,02136
52,LIGHT,42.242,-71.120,1,02136
53,LIGHT,42.242,-71.121,1,02136
54,LIGHT,42.242,-71.126,3,02136
55,LIGHT,42.242,-71.127,1,02136
56,LIGHT,42.242,-71.128,1,02136
57,LIGHT,42.242,-71.129,4,02136
58,LIGHT,42.242,-71.130,2,02136
59,LIGHT,42.242,-71.132,4,02136
60,LIGHT,42.242,-71.133,5,02136
61,LIGHT,42.242,-71.134,1,02136
62,LIGHT,42.243,-71.121,1,02136
63,LIGHT,42.243,-71.122,1,02136
64,LIGHT,42.243,-71.124,4,02136
65,LIGHT,42.243,-71.125,13,02136
66,LIGHT,42.243,-71.126,12,02136
67,LIGHT,42.243,-71.127,3,02136
68,LIGHT,42.243,-71.128,3,02136
69,LIGHT,42.243,-71.129,1,02136
70,LIGHT,42.243,-71.131,2,02136
71,LIGHT,42.243,-71.132,2,02136
72,LIGHT,42.243,-71.133,1,02136
73,LIGHT,42.244,-71.117,1,02136
74,LIGHT,42.244,-71.120,1,02136
75,LIGHT,42.244,-71.124,2,02136
76,LIGHT,42.244,-71.125,8,02136
77,LIGHT,42.244,-71.126,13,02136
78,LIGHT,42.244,-71.129,3,02136
79,LIGHT,42.244,-71.131,1,02136
80,LIGHT,42.244,-71.133,1,02136
81,LIGHT,42.244,-71.134,2,02136
82,LIGHT,42.244,-71.135,1,02136
83,LIGHT,42.244,-71.136,1,02136
84,LIGHT,42.244,-71.143,1,02136
85,LIGHT,42.245,-71.125,2,02136
86,LIGHT,42.245,-71.126,4,02136
87,LIGHT,42.245,-71.128,1,02136
88,LIGHT,42.245,-71.129,6,02136
89,LIGHT,42.245,-71.130,2,02136
90,LIGHT,42.245,-71.136,4,02136
